title,href,area,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,2009,2010,2011,2012,2013,2014,2015,2016
医疗器械销售代表,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%8C%BB%E7%96%97%E5%99%A8%E6%A2%B0%E9%94%80%E5%94%AE%E4%BB%A3%E8%A1%A8/,"
销售类

♦
♦

",5010,6620,6790,,,,1365,3106,3239,3593,4018,4479,5510,5943
高级客户经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E5%AE%A2%E6%88%B7%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",7710,8670,11210,13340,17000,,6889,5518,6962,7195,7693,7845,10374,10848
大客户销售经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%A4%A7%E5%AE%A2%E6%88%B7%E9%94%80%E5%94%AE%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",5570,9140,10910,12140,14850,,10712,7959,7999,6575,7443,8052,9385,10039
渠道经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%B8%A0%E9%81%93%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",5770,8090,10680,12160,15190,,5301,4569,6181,5519,7020,7487,9963,10035
渠道销售,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%B8%A0%E9%81%93%E9%94%80%E5%94%AE/,"
销售类

♦
♦

",5760,6620,8940,11530,16120,,3029,2761,3752,4907,5557,6665,7420,7376
大区经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%A4%A7%E5%8C%BA%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",4160,7790,10430,13120,15960,,4165,5067,6514,6855,7681,7382,10084,10133
大客户销售,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%A4%A7%E5%AE%A2%E6%88%B7%E9%94%80%E5%94%AE/,"
销售类

♦
♦

",5880,8290,10550,13190,16830,,7983,7539,7282,6362,7452,7927,8731,8641
电子商务专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%94%B5%E5%AD%90%E5%95%86%E5%8A%A1%E4%B8%93%E5%91%98/,"
销售类

♦
♦

",4380,5080,5640,,,,2466,2815,3533,3747,4737,4622,5354,5718
bd经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-bd%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",5430,9520,11220,15450,18190,,11799,4999,7249,6325,6764,9635,9962,10824
业务助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%B8%9A%E5%8A%A1%E5%8A%A9%E7%90%86/,"
销售类

♦
♦

",4040,5200,6660,17330,14270,,2751,2618,3539,4096,5291,4978,5143,5777
网络销售,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%BD%91%E7%BB%9C%E9%94%80%E5%94%AE/,"
销售类

♦
♦

",5790,6320,7490,19300,20500,,2330,2646,3630,3942,4829,4832,6139,7057
平面设计师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B9%B3%E9%9D%A2%E8%AE%BE%E8%AE%A1%E5%B8%88/,"
美术/设计/创意类

♦
♦

",4220,6670,8320,9980,11350,,2871,3159,4225,4380,4637,5198,7485,7614
文案策划,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%87%E6%A1%88%E7%AD%96%E5%88%92/,"
美术/设计/创意类

♦
♦

",4300,6430,7860,10700,12200,,3159,3096,4234,4354,4469,5254,7174,7340
平面设计,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B9%B3%E9%9D%A2%E8%AE%BE%E8%AE%A1/,"
美术/设计/创意类

♦
♦

",4040,6110,7780,10020,11940,,2588,2295,3588,3877,4119,4716,7096,7098
